time_s,trip_id,drone_id,x,y,altitude_m,phase,connected,mode,reason
555.0,T016,U04,319436.159,2547146.782,273.057,cruise,1,direct,
560.0,T001,U07,318466.615,2545552.741,366.098,cruise,1,direct,
560.0,T002,U05,318914.244,2545538.001,591.947,cruise,1,direct,
560.0,T003,U08,318686.201,2545556.139,402.7,ascent,1,direct,
560.0,T004,U06,319715.289,2546158.843,399.182,cruise,1,direct,
560.0,T006,U01,319820.153,2545837.156,435.637,cruise,1,direct,
560.0,T009,U02,318282.754,2546031.651,571.799,cruise,1,direct,
560.0,T010,U03,318377.069,2546941.224,372.909,cruise,1,direct,
560.0,T016,U04,319461.747,2547201.052,273.057,cruise,1,direct,
565.0,T001,U07,318391.624,2545551.58,366.098,cruise,1,direct,
565.0,T002,U05,318989.008,2545532.055,591.947,cruise,1,direct,
565.0,T003,U08,318686.201,2545556.139,415.2,ascent,1,direct,
565.0,T004,U06,319780.006,2546196.746,399.182,cruise,1,direct,
565.0,T006,U01,319878.391,2545851.589,435.637,cruise,1,direct,
565.0,T009,U02,318243.936,2546077.402,571.799,cruise,1,direct,
565.0,T010,U03,318364.0,2546999.783,372.909,cruise,1,direct,
565.0,T016,U04,319487.334,2547255.323,273.057,cruise,1,direct,
570.0,T001,U07,318316.633,2545550.42,366.098,cruise,1,direct,
570.0,T002,U05,319063.772,2545526.108,591.947,cruise,1,direct,
570.0,T003,U08,318686.201,2545556.139,427.7,ascent,1,direct,
570.0,T004,U06,319844.724,2546234.649,399.182,cruise,1,direct,
570.0,T006,U01,319936.63,2545866.021,435.637,cruise,1,direct,
570.0,T009,U02,318205.119,2546123.153,571.799,cruise,1,direct,
570.0,T010,U03,318350.93,2547058.343,372.909,cruise,1,direct,
570.0,T016,U04,319512.922,2547309.593,273.057,cruise,1,direct,
575.0,T001,U07,318241.642,2545549.259,366.098,cruise,1,direct,
575.0,T002,U05,319138.536,2545520.162,591.947,cruise,1,direct,
575.0,T003,U08,318686.201,2545556.139,440.2,ascent,1,direct,
575.0,T004,U06,319909.442,2546272.552,399.182,cruise,1,direct,
575.0,T006,U01,319994.868,2545880.454,435.637,cruise,1,direct,
575.0,T009,U02,318166.301,2546168.905,571.799,cruise,1,direct,
575.0,T010,U03,318337.861,2547116.902,372.909,cruise,1,direct,
575.0,T016,U04,319538.509,2547363.864,273.057,cruise,1,direct,
580.0,T001,U07,318166.651,2545548.099,366.098,cruise,1,direct,
580.0,T002,U05,319213.3,2545514.215,591.947,cruise,1,direct,
580.0,T003,U08,318686.201,2545556.139,452.7,ascent,1,direct,
580.0,T004,U06,319974.159,2546310.455,399.182,cruise,1,direct,
580.0,T006,U01,320053.106,2545894.887,435.637,cruise,1,direct,
580.0,T009,U02,318127.483,2546214.656,571.799,cruise,1,direct,
580.0,T010,U03,318324.791,2547175.461,372.909,cruise,1,direct,
580.0,T016,U04,319564.097,2547418.134,273.057,cruise,1,direct,
585.0,T001,U07,318091.66,2545546.938,366.098,cruise,1,direct,
585.0,T002,U05,319288.064,2545508.268,591.947,cruise,1,direct,
585.0,T003,U08,318686.201,2545556.139,465.2,ascent,1,direct,
585.0,T004,U06,320038.877,2546348.358,399.182,cruise,1,direct,
585.0,T006,U01,320111.345,2545909.319,435.637,cruise,1,direct,
585.0,T009,U02,318088.666,2546260.407,571.799,cruise,1,direct,
585.0,T010,U03,318311.721,2547234.02,372.909,cruise,1,direct,
585.0,T016,U04,319589.684,2547472.404,273.057,cruise,1,direct,
590.0,T001,U07,318016.668,2545545.778,366.098,cruise,1,direct,
590.0,T002,U05,319362.827,2545502.322,591.947,cruise,1,direct,
590.0,T003,U08,318686.201,2545556.139,477.7,ascent,1,direct,
590.0,T004,U06,320103.594,2546386.261,399.182,cruise,1,direct,
590.0,T006,U01,320169.583,2545923.752,435.637,cruise,1,direct,
590.0,T009,U02,318049.848,2546306.159,571.799,cruise,1,direct,
590.0,T010,U03,318298.652,2547292.58,372.909,cruise,1,direct,
590.0,T016,U04,319615.272,2547526.675,273.057,cruise,1,direct,
595.0,T001,U07,317941.677,2545544.617,366.098,cruise,1,direct,
595.0,T002,U05,319437.591,2545496.375,591.947,cruise,1,direct,
595.0,T003,U08,318686.201,2545556.139,490.2,ascent,1,direct,
595.0,T004,U06,320168.312,2546424.164,399.182,cruise,1,direct,
595.0,T006,U01,320227.821,2545938.184,435.637,cruise,1,direct,
595.0,T009,U02,318011.03,2546351.91,571.799,cruise,1,direct,
595.0,T010,U03,318285.582,2547351.139,372.909,cruise,1,direct,
595.0,T016,U04,319640.859,2547580.945,273.057,cruise,1,direct,
600.0,T001,U07,317866.686,2545543.456,366.098,cruise,1,direct,
600.0,T002,U05,319512.355,2545490.429,591.947,cruise,1,direct,
600.0,T003,U08,318686.201,2545556.139,502.7,ascent,1,direct,
600.0,T004,U06,320233.029,2546462.067,399.182,cruise,1,direct,
600.0,T006,U01,320286.059,2545952.617,435.637,cruise,1,direct,
600.0,T009,U02,317972.212,2546397.661,571.799,cruise,1,direct,
600.0,T010,U03,318272.512,2547409.698,372.909,cruise,1,direct,
600.0,T016,U04,319666.447,2547635.216,273.057,cruise,1,direct,
605.0,T001,U07,317791.695,2545542.296,366.098,cruise,1,direct,
605.0,T002,U05,319587.119,2545484.482,591.947,cruise,1,direct,
605.0,T003,U08,318669.677,2545566.229,511.973,cruise,1,direct,
605.0,T004,U06,320297.747,2546499.97,399.182,cruise,1,direct,
605.0,T006,U01,320344.298,2545967.05,435.637,cruise,1,direct,
605.0,T009,U02,317933.395,2546443.413,571.799,cruise,1,direct,
605.0,T010,U03,318259.443,2547468.257,372.909,cruise,1,direct,
605.0,T016,U04,319692.034,2547689.486,273.057,cruise,1,direct,
610.0,T001,U07,317716.704,2545541.135,366.098,cruise,1,direct,
610.0,T002,U05,319661.883,2545478.536,591.947,cruise,1,direct,
